postCode,city,street
5020,Salzburg,Siezenheimerstrasse 39a
4204,Reichenau im Mkr. ,Marktplatz 2
8261,Sinabelkirchen,Sinabelkirchen 8
4861,Schörfling am Attersee,Hafnergasse 16
8301,Laßnitzhöhe,Wöbling 38
6800,Feldkirch,"Marktplatz, 24"
8190,Birkfeld,Gasener Straße 3
3430,Tulln,Minoritenplatz 1
8650,Kindberg,Roßdorf Platz 1
8605,Kapfenberg,Stadtwerkestraße 6
4170,Haslach an der Muehl,schwackerreith 12
2070,Retz,Kremserstrasse 26
3104,St. Pölten - Harland,Mathilde Beyerknecht-Straße 9
5630,Bad Hofgastein,"Wasserfallgasse, 17"
8010,Graz,Petersgasse 128a
9220,Velden am Wörthersee,"Streklhofweg, 1"
2402,Maria Ellend,Landstrasse 16
3532,Rastenfeld,Marbach im Felde 20
3533,Friedersbach,Oberwaltenreith 10
8053,Graz,Pirchäckerstrasse 27
5350,Strobl,Kleefeldstraße 4
6710,Nenzing,Kesseweg 19
1010,Wien,Salztorgasse 7/5a
2544,Leobersdorf ,Enzesfelderstrasse 25a
8342,Gnas,Gnas 46
3100,St. Pölten,Bimbo Binder-Promenade 27
4280,Königswiesen,Schulstraße 46
5661,Rauris,Carpe Solem Rauris Gmbh & Co KG
9500,Villach,Kasmanhuberstraße 3
8223,Stubenberg am See,"Freienberg, 103"
1030,Wien,Baumgasse 129
6112,Wattens,Weisstraße 9
6020,Innsbruck,Hermann-Gmeiner-Straße 20
8993,Grundlsee,Mosern 6
1040,Wien,Favoritenstr. 50
3753,Pernegg,"Pernegg, 1"
8225,Pöllau ,Wiedengürtel 211
3613,Els,Els 66
6213,Pertisau,golfplatzstraße 9
8580,Koeflach,Grazerstrasse 12
6105,Leutasch,Weidach 305
3921,Langschlag,Bahnhofstraße 265
4616,WEISSKIRCHEN,"Böllerstraße, 12"
3652,Leiben,Hauptstraße
4193,Reichenthal,Oberer Markt 11
2500,Baden,Hauptplatz 1
4631,Krenglbach,Krenglbacher Str. 9
6130,schwaz,"einfang, 29, 3"
6580,St. Anton am Arlberg,"im Gries, 17"
7502,Unterwart,Gewerbepark 13
6322,Kirchbichl,Oberndorferstraße 1
9100,Völkermarkt,Jauntalweg 2
4890,Frankenmarkt,Voithstraße 1
4050,Traun,Wienerbundesstraße 174
6290,Mayrhofen,Eckartau 2
6791,St. Gallenkirch,Kreuzgasse 105
4551,Ried im Traunkreis,Großendorf 113 1.OG
8561,Söding-Sankt Johann,Bergstraße 43
3641,Aggsbach Markt,Nr.187
4502,St.Marien,Oberschöfring 35
5731,Hollersbach im Pinzgau,"Hollersbach, 17"
5542,Flachau,Dorfstraße 10
4580,Windischgarsten,Am Hang 3
9612,St. Georgen,Labientschach 78
6370,Kitzbühel,Jochbergerstraße 36
1230,wien,testhausen
4175,Herzogsdorf ,Herzogweg 20
4072,Alkoven,"Weinberggasse, 33"
4615,Holzhausen,Kirchenstraße 16
5630,Bad Hofgastein,Weitmoserstr. 1
6580,St. Anton am Arlberg,St. Jakober Dorfstraße 21
6020,Innsbruck,Langer Weg 28
9911,Assling,Unterassling 50
4400,Steyr,Wolfernstrasse 23
9431,Wolfsberg,Am Gewerbepark 12
3902,Vitis,Großrupprechts 31
5600,St.Johann im Pongau,Pfunerweg 38
8990,Bad Aussee,Pratergasse 138
4845,Rutzenmoos,Rutzenmooser Ring 12
8673,Ratten,Kirchenviertel 129
5440,Golling,Markt 45
6460,Imst,Langgasse 5
8962,Gröbming,Hauptstraße 434
4792,Münzkirchen,Passauerstrasse 2
2264,Sierndorf an der March,Bahnstraße 36
6363,Westendorf,Bichling 105
4730,Waizenkirchen,Niederspaching 8
6424,Silz,Widumgasse 5
5710,Kaprun,Salzburgerplatz 13
8350,Fehring,Grazer Straße 1
5652,Dienten am Hochkönig,Grüneggweg 2
5761,Maria Alm,Hochkönigstraße 8
5092,Sankt Martin bei Lofer,Grubhof 39
4560,Kirchdorf an der Krems,S. Redtenbacherplatz 1
6460,Imst,Pfarrgasse 3
6820,Frastanz,Kirchplatz 2
5400,Hallein,Lindorferpaltz 8
4540,Bad Hall,Ing.-Pesendorfer-Str. 23
6200,Jenbach,Kirchgasse  3
6200,Jenbach,Rotholzerweg 13a
6200,Jenbach,Kirchgasse 3
6782,Silbertal im Montafon,Dorfstraße 19
1110,Wien,Etrichstraße 23
8700,Leoben,Kerpelystraße 21
3550,Langenlois,Weingartenweg 11
5232,Kirchberg bei Mattighofen,Hilprechtsham 5
4174,Niederwaldkirchen,Steinbach 24
4050,Traun,Johann-Roithner-Strasse 131
4407,Steyr,Im Stadtgut B2
5622,Goldegg,Mitterstein 2
3522,Lichtenau im Waldviertel,Nr49
2803,Schwarzenbach,Gewerbepark 1
8967,Haus,Marktstr. 30
9072,Ludmannsdorf,Wellersdorf 4
5760,Saalfelden,Leoganger Str. 23
6020,Innsbruck,Rumerstrasse 17
6290,Mayrhofen,Durster strasse 220
6134,Vomp,Au 25
3902,Vitis,Europastraße 1
9620,Hermagor,Obervellach 50
2734,Puchberg am Schneeberg,Losenheimerstraße 176
5611,Großarl,Unterbergstraße 55
6271,Uderns,Kapfinger Straße 1
8580,Köflach,Stadtwerkgasse 2
6824,Schlins,Walgaustraße 22
6793,Gaschurn,Campingstraße 138a
6561,Ischgl,Silvrettaplatz 2
8943,Aigen im Ennstal,Aigen 8
8570,Voitsberg,Hauptplatz 35
5730,Mittersill,Lämmerbichl 8
3631,Kirchschlag,Kirchschlag 2
4020,Linz,Böhmerwaldstraße
8600,Bruck an der Mur,Schiffgasse 7
7000,Eisenstadt,Kasernenstraße
3321,Ardagger Markt,Markt 55
8700,Leoben,Sonnenstraße 12
3500,Krems,An der Schütt 3
8055,Graz,Puchstraße 208
4060,Leonding,Aichbergstraße 33
3430,Tulln,Langenlebarnerstr. 70
2120,Wolkersdorf,"Industriestraße, 5"
8763,Pölstal Möderbrugg,Hauptstraße7
1220,Wien,Aspernstrasse 96
1010,Wien,Rudolfsplatz 13a
4690,Schwanenstadt,Staig 32
5640,Bad Gastein,Dorfplatz 1 
4541,Adlwang,Terschlplatz 1
3231,St. Margarethen an der Sierning,Hauptstraße 10
5412,Puch bei Hallein,Leitnerstraße 669
3911,Rappottenstein,Rappottenstein 24
3400,Klosterneuburg,Rathausplatz 1
8793,Trofaiach,Luchinettigasse 9
2124,Niederkreuzstetten,Kirchenplatz 5
7221,Marz,Bundesstraße 3
6123,Terfens,Auweg 60
4643,Pettenbach,Almau 8
8254,Wenigzell,Pittermann 18
2091,Langau,Hauptplatz 103
3500,Krems,Ringstraße 5-7
3340,Waidhofen/Ybbs,Weyrerstraße 90
3100,St. Pölten,Kuefsteiinstrasse 28/5
3202,Hofstetten-Grünau,Hauptplatz 3-5
6020,Innsbruck,Innrain 19
6345,Kössen,Mooslenz 39
4342,Baumgartenberg,Baumgartenberg 76
2120,Wolkersdorf,Bahnstraße 14
3131,Inzersdorf,Dorfstraße 20
8010,Graz,Schönaugürtel
4942,Gurten,Freiling 28
3834,Pfaffenschlag,Davidstraße 3
9911,Assling,Oberthal 27
2870,Aspang,Ufergasse 2
8010,Graz,Leonhardgürtel
5550,Radstadt,Hoheneggstrasse 13
1230,Wien,Deutschstraße 10
1210,"Wien 21., Floridsdorf",Scheydgasse 42
2344,Maria Enzersdorf,EVN Platz
4822,Bad Goisern,St. Agatha 10
2344,Maria Enzersdorf,EVN Platz 
8010,Graz,Neuholdaugasse 56
4020,Linz,Böhmerwaldstraße 3
1150,Wien,Europaplatz 2 / Stiege 4 / 4.OG
1190,Wien,Heiligenstädterstraße 46-48
7551,Stegersbach,Oberbergen
4204,Reichenau i.M.,Marktplatz 2
5550,Radstadt,Salzburger Straße 26
8330,Feldbach,Gniebing 52a
6020,Innsbruck,Langer Weg
80809 ,München,Moosacher Strasse 84
6068,Mils,Gewerbepark Süd 6
3652,Leiben,Hauptstraße 34
4982,Kirchdorf am Inn,Kirchdorf am Inn
2225,Zistersdorf,Hauptstrasse 39
9020,Klagenfurt,Arnulfplatz 
8353,Kapfenstein,Pretal 144
7301,Deutschkreutz,Rotweinweg
1020,Wien,Floßgasse 9
4020,Linz,Wiener Straße 
5020,Salzburg,Unter der Leiten 11
5020,salzburg,fischer-von-erlachstr
1090,Wien,Währingerstrasse 3/8
4020,Linz,Landstraße 7
1090,Wien,Währingerstraße 3/8
,,
5020,Salzburg,Münchner bundesstraße 69
8081,Heiligenkreuz am Waasen,Prosdorfberg 42
8010,Graz,Humboldtstraße 4
8152,Stallhofen,Stallhofen 270
1002,Wien,Hauptstrasse 10
5020,Salzburg,Moosstraße 41g
5020,Salzburg,Bayerhamerstraße
1150,Wien,Europaplatz 2/4/3
5741,Neukirchen,Marktstraße 179
8463,Leutschach an der Weinstraße,Glanz 50
2380,Perchtoldsdorf,Alfred-Feierfeilstraße 3
8680,Mürzzuschlag,Mariazeller Straße 45c
8600,Bruck an der Mur,Stadtwerkestraße 9
6130,Schwaz,Hermine-Berghofer-Straße 31
5020,Salzburg,Bayerhamerstraße 16
3430, Tulln an der Donau,Minoritenplatz 1
1020,Wien,Vorgartenstraße 206c
6020,Innsbruck,Salurner Straße 15/III
1030,Wien,Thomas-Klestil-Platz
1200,Wien,Universumstraße 23-29/61
4600,Wels,Stelzhamerstraße 27
9640,Kötschach-Mauthen,Kötschach 66
4204,Reichenau im Mühlkreis ,Marktplatz 2
8077,Gössendorf,Anton - Hubmann - Platz 2
8190,Birkfeld,Gasener Strasse 3
8650,Kindberg,Kirchengasse
8650,Kindberg,Roßdorf Platz
4170,Haslach an der Muehl,Schwackerreith 12
3104,St. Pölten-Harland,Mathilde Beyerknecht-Straße 9
9220,Velden am Wörthersee,Streklhofweg 
9220,Velden am Wörthersee,Streklhofweg
2402,Maria Ellend,Heidestrasse 21
3532,Rastenfeld,Marbach im Felde 20 a
2544,Leobersdorf ,Enzesfelderstraße 25a
2551,Enzesfeld ,Aumühlweg 21/1 Halle 02
8223,Stubenberg am See,Freienberg 103
5230,Mattighofen,Salzburger Straße 25a
4820,Bad Ischl,Tänzlgasse 15
1020,Wien,Untere Donaustraße 21
4407,Steyr,Gleinker Hauptstraße 1c
8700,Leoben,Ostererweg 2
4710,Grieskirchen,Johannesstraße 15
8850,Murau,Märzenkeller 18
7000,Eisenstadt,Mattersburger Straße 34
1220,Wien,Franz-Fellner-Gasse 1
9020,Klagenfurt am Wörthersee,Alois-Schader-Straße 11
8430,Kaindorf,Adolf-Hofer-Straße 1
4614,Marchtrenk,Neufahrner Str. 100
4563,Micheldorf,Reiner-Burgholzer-Straße 3
3910,Zwettl,Franz Eigl-Straße 6
2103,Langenzersdorf,Wiener Straße 200-208
4320,Perg,Kramelsbergstraße 1
8763,Möderbrugg,Hauptstraße 8
2020,Gemeinde Hollabrunn,Aspersdorfer Straße 17
4600,Wels,Linzer Straße 220
4850,Timelkam,Straß 22
9500,Villach,Gewerbezeile 1
4040,Linz,Freistädter Str. 399
1100,Wien,Wienerbergstraße 27
1210,Wien,Shuttleworthstraße 8
4520,Freistadt,Galgenau 45
2524,Teesdorf,Triester Bundesstraße 120
6020,Innsbruck,Handlhofweg 81
8160,Preding,Bundesstraße 2
1140,Wien,Hadikgasse 192
3250,Wieselburg,Furtgasse 10
5700,Zell am See,Loferer Bundesstraße 40
6130,Schwaz,Innsbruckerstr. 75a
3580,Horn,Prager Str. 46
2700,Wiener Neustadt,Neunkirchner Str. 200
8680,Mürzzuschlag,Untere Berggasse 2
4150,Rohrbach,Gewerbeallee 31
9100,Völkermarkt,Klagenfurter Straße 54
9400,Wolfsberg,Klagenfurter Straße 21
5760,Saalfelden am Steinernen Meer,Hohlwegen 4
3400,Klosterneuburg,Schüttaustraße 9
4820,Bad Ischl,Salzburger Str. 84
9800,Spittal an der Drau,Villacher Straße 115
9560,Feldkirchen in Kärnten,Helga F. Perkonig Straße 3
2100,Korneuburg,Stockerauer Straße 92
4070,Eferding,Karl-Schachinger-Straße 6
8403,Lang,Jöß-Gewerbegebiet 1
4300,St. Valentin,Rasthausstraße 1
8280,Fürstenfeld,Burgenlandstraße 20a
5280,Braunau,Auf der Haiden 105
9620,Hermagor,Obervellach 94
8940,Liezen,Werkstraße 23
4812,Pinsdorf,Leitenstraße 24
8970,Schladming,Ramsauerstraße 683
3390,Melk,Am Wachauring 2
3500,Krems an der Donau,Bertschingerstraße 1
8230,Eggendorf,Eggendorfer Straße 1a
7100,Neusiedl am See,Rot-Kreuz-Gasse 29
5020,Salzburg,Vogelweiderstraße 63
9100,Völkermarkt,Klagenfurter Straße 46
8680,Mürzzuschlag,Grazer Straße 62
5301,Eugendorf,Moosstraße 37
2512,Traiskirchen,Zubringerstraße 99
4020,Linz,Wankmüllerhofstraße 60
1010,Wien,Schubertring 1/3
8490,Bad Radkersburg,Halbenrainerstraße 28
4911,Tumeltsham,Fuchsleiten 1
8740,Zeltweg,Bundesstraße 20
8010,Graz,Conrad-von-Hötzendorf-Straße 127
3300,Amstetten,Preinsbacher Straße 15
8020,Graz,Alte Poststraße 161
9300,Sankt Veit an der Glan,Henry Dunant Straße 3
2320,Schwechat,Mannswörther Straße 26
4782,Badhöring,Badhöring 46
6112,Wattens,Martinsangerweg 1
6112,Wattens,Kirchplatz 7
6112,Wattens,Kristallweltenstraße 1
6112,Wattens,Kirchplatz 17
6112,Wattens,Egger Lienz Straße 9
6020,Innsbruck,Hermann-Gmeiner-Strasse 20
8993,Grundlsee,Mosern 112
3242,Texingtal,Fischbach 6
3753,Pernegg,Pernegg 1
3613,Albrechtsberg,Els 66
4616,Weißkirchen,Böllerstraße 12
3652,Leiben,Weitenegg 8
3652,Leiben,Schlossstraße 4 
4193,Reichenthal,Marktplatz  
2500,Baden,Brusattiplatz 3
2500,Baden,Helenenstraße 40
2500,Baden,Strasserngasse 19
2500,Baden,Josef-Höfle-Gasse 30 
6580,St. Anton am Arlberg,Bahnhofstraße 6
6322,Kirchbichl,Kufsteinerstraße 3
6290,Mayrhofen,Am Marktplatz 215
4653,Eberstalzell,Solarstraße 4
8940,Liezen,Richard Steinhuber Straße 4
6370,Kitzbühel,Franz Reisch Strasse 2
6370,Kitzbühel,Am See 5a
6370,Kitzbühel,Im Gries 
6370,Kitzbühel,Jochberger Straße 27 
