postCode,city
5020,Salzburg
4204,Reichenau im Mkr. 
8261,Sinabelkirchen
4861,Schörfling am Attersee
8301,Laßnitzhöhe
6800,Feldkirch
8190,Birkfeld
3430,Tulln
8650,Kindberg
8605,Kapfenberg
4170,Haslach an der Muehl
2070,Retz
3104,St. Pölten - Harland
5630,Bad Hofgastein
8010,Graz
9220,Velden am Wörthersee
2402,Maria Ellend
3532,Rastenfeld
3533,Friedersbach
8053,Graz
5350,Strobl
6710,Nenzing
1010,Wien
2544,Leobersdorf 
8342,Gnas
3100,St. Pölten
4280,Königswiesen
5661,Rauris
9500,Villach
8223,Stubenberg am See
1030,Wien
6112,Wattens
6020,Innsbruck
8993,Grundlsee
1040,Wien
3753,Pernegg
8225,Pöllau 
3613,Els
6213,Pertisau
8580,Koeflach
6105,Leutasch
3921,Langschlag
4616,WEISSKIRCHEN
3652,Leiben
4193,Reichenthal
2500,Baden
4631,Krenglbach
6130,schwaz
6580,St. Anton am Arlberg
7502,Unterwart
6322,Kirchbichl
9100,Völkermarkt
4890,Frankenmarkt
4050,Traun
6290,Mayrhofen
6791,St. Gallenkirch
4551,Ried im Traunkreis
8561,Söding-Sankt Johann
3641,Aggsbach Markt
4502,St.Marien
5731,Hollersbach im Pinzgau
5542,Flachau
4580,Windischgarsten
9612,St. Georgen
6370,Kitzbühel
1230,wien
4175,Herzogsdorf 
4072,Alkoven
4615,Holzhausen
9911,Assling
4400,Steyr
9431,Wolfsberg
3902,Vitis
5600,St.Johann im Pongau
8990,Bad Aussee
4845,Rutzenmoos
8673,Ratten
5440,Golling
6460,Imst
8962,Gröbming
4792,Münzkirchen
2264,Sierndorf an der March
6363,Westendorf
4730,Waizenkirchen
6424,Silz
5710,Kaprun
8350,Fehring
5652,Dienten am Hochkönig
5761,Maria Alm
5092,Sankt Martin bei Lofer
4560,Kirchdorf an der Krems
6820,Frastanz
5400,Hallein
4540,Bad Hall
6200,Jenbach
6782,Silbertal im Montafon
1110,Wien
8700,Leoben
3550,Langenlois
5232,Kirchberg bei Mattighofen
4174,Niederwaldkirchen
4407,Steyr
5622,Goldegg
3522,Lichtenau im Waldviertel
2803,Schwarzenbach
8967,Haus
9072,Ludmannsdorf
5760,Saalfelden
6134,Vomp
9620,Hermagor
2734,Puchberg am Schneeberg
5611,Großarl
6271,Uderns
8580,Köflach
6824,Schlins
6793,Gaschurn
6561,Ischgl
8943,Aigen im Ennstal
8570,Voitsberg
5730,Mittersill
3631,Kirchschlag
4020,Linz
8600,Bruck an der Mur
7000,Eisenstadt
3321,Ardagger Markt
3500,Krems
8055,Graz
4060,Leonding
2120,Wolkersdorf
8763,Pölstal Möderbrugg
1220,Wien
4690,Schwanenstadt
5640,Bad Gastein
4541,Adlwang
3231,St. Margarethen an der Sierning
5412,Puch bei Hallein
3911,Rappottenstein
3400,Klosterneuburg
