,operatorId,organization,country
0,***,Logwin Solutions Austria GsmbH,AT
1,000,Marktgemeinde Reichenau i.M.,AT
2,001,Marktgemeinde Sinabelkirchen,AT
3,002,Smart Mobility Power GmbH,AT
4,006,EPI - Energietechnik GmbH,AT
5,007,arx GmbH,AT
6,008,Autohaus Felber GmbH,AT
7,011,Stadtgemeinde Tulln,AT
8,014,Elektrizitätswerk der Stadtgemeinde Kindberg,AT
9,018,Stadtwerke Kapfenberg GmbH,AT
10,040,,AT
11,041,Resel Auto- Handel und -Reparatur GmbH,AT
12,044,ENML,AT
13,047,Kurt Winkler e.U.,AT
14,048,Winkler Gipfelblick Chalet,AT
15,055,GRAZER TREUHAND STEUERBERATUNG GmbH & Partner KG,AT
16,059,Hotel Streklhof,AT
17,060,COE Immobilien GmbH,AT
18,065,Lemp Energietechnik KG,AT
19,069,WALDLAND Holding GmbH,AT
20,071,Oliver Merkl,AT
21,085,Gasthof Kleefeld Hotel GmbH,AT
22,086,"Dipl. Ing. FH Peter Martinek, MEng",AT
23,087,,AT
24,091,,AT
25,094,Marktgemeindeamt Gnas,AT
26,095,UNION Eislauf & Tennisverein St. Pölten 1872,AT
27,099,Karlingerhaus GmbH,AT
28,100,Carpe Solem Rauris GmbH & Co KG,AT
29,103,A-Quadrat Immobilien GmbH,AT
30,113,Rebernig KG,AT
31,120,ÖAMTC Betriebe GmbH,AT
32,123,Destination Wattens Regionalentwicklung GmbH,AT
33,133,ING-B Holding GmbH,AT
34,138,ECO-Logis OG,AT
35,165,Steinbauer Development GmbH,AT
36,199,Friends Touristik GmbH,AT
37,200,,AT
38,20W,Elektrotechnik Winter Andreas,AT
39,212,Furtner,AT
40,231,Autohaus Kainbacher Gmbh,AT
41,233,Hotel Leutascherhof - Wandl OHG,AT
42,265,Ernstbrunner Benjamin,AT
43,294,autohaus fazeny gmbh,AT
44,365,Marktgemeinde Leiben,AT
45,416,Marktgemeinde Reichenthal,AT
46,430,Stadtgemeinde Baden,AT
47,463,Gemeindeamt Krenglbach,AT
48,471,siplan gmbh,AT
49,484,EWA GmbH St. Anton am Arlberg,AT
50,505,Autohaus Fürst GmbH,AT
51,511,Gemeinde Kirchbichl,AT
52,540,Autohaus Purkowitzer GmbH,AT
53,555,Voith Austria GmbH,AT
54,565,Karosserie & Lackiercenter Andreas Lasisch,AT
55,606,Christophorus Busbetriebs GmbH,AT
56,679,Haus Valtellina,AT
57,762,pod bau gmbh,AT
58,776,Schmankerlschenke Fuchs,AT
59,859,Automobile Prisching,AT
60,888,"Hauser, Elektrotechnik",AT
61,889,SK Hotelbetriebs gmbh Kg &CO,AT
62,911,Gasthof Hotel Reslwirt Warter & Co Kg,AT
